node1	label	node2
P1430	data_type	external-identifier
P1431	data_type	item
P1433	data_type	item
P1434	data_type	item
P1435	data_type	item
P1436	data_type	quantity
P1437	data_type	item
P1438	data_type	string
P1439	data_type	external-identifier
P1440	data_type	external-identifier
P1441	data_type	item
P1442	data_type	string
P1443	data_type	item
P1444	data_type	item
P1445	data_type	item
P1446	data_type	quantity
P1447	data_type	external-identifier
P1448	data_type	monolingualtext
P1449	data_type	monolingualtext
P1450	data_type	monolingualtext
P1451	data_type	monolingualtext
P1453	data_type	external-identifier
P1454	data_type	item
P1455	data_type	item
P1456	data_type	item
P1457	data_type	quantity
P1458	data_type	quantity
P1459	data_type	external-identifier
P1460	data_type	external-identifier
P1461	data_type	string
P1462	data_type	item
P1463	data_type	external-identifier
P1464	data_type	item
P1465	data_type	item
P1466	data_type	external-identifier
P1467	data_type	external-identifier
P1468	data_type	external-identifier
P1469	data_type	external-identifier
P1470	data_type	quantity
P1471	data_type	string
P1472	data_type	string
P1473	data_type	external-identifier
P1474	data_type	external-identifier
P1476	data_type	monolingualtext
P1477	data_type	monolingualtext
P1478	data_type	item
P1479	data_type	item
P1480	data_type	item
P1481	data_type	external-identifier
P1482	data_type	url
P1483	data_type	external-identifier
P1529	data_type	external-identifier
P1531	data_type	item
P1532	data_type	item
P1533	data_type	item
P1534	data_type	item
P1535	data_type	item
P1536	data_type	item
P1537	data_type	item
P1538	data_type	quantity
P1539	data_type	quantity
P1540	data_type	quantity
P1541	data_type	external-identifier
P1542	data_type	item
P1543	data_type	string
P1544	data_type	external-identifier
P1545	data_type	string
P1546	data_type	item
P1547	data_type	item
P1548	data_type	quantity
P1549	data_type	monolingualtext
P1550	data_type	external-identifier
P1551	data_type	external-identifier
P1552	data_type	item
P1553	data_type	external-identifier
P1554	data_type	external-identifier
P1555	data_type	external-identifier
P1556	data_type	external-identifier
P1557	data_type	item
P1558	data_type	item
P1559	data_type	monolingualtext
P1560	data_type	item
P1561	data_type	quantity
P1562	data_type	external-identifier
P1563	data_type	external-identifier
P1564	data_type	external-identifier
P1565	data_type	external-identifier
P1566	data_type	external-identifier
P1567	data_type	external-identifier
P1568	data_type	item
P1571	data_type	item
P1573	data_type	external-identifier
P1574	data_type	item
P1575	data_type	external-identifier
P1576	data_type	item
P1577	data_type	external-identifier
P1578	data_type	external-identifier
P1579	data_type	external-identifier
P1580	data_type	external-identifier
P1581	data_type	url
P1582	data_type	item
P1583	data_type	external-identifier
P1584	data_type	external-identifier
P1585	data_type	external-identifier
P1586	data_type	external-identifier
P1587	data_type	external-identifier
P1588	data_type	string
P1589	data_type	item
P1590	data_type	quantity
P1591	data_type	item
P1592	data_type	item
P1593	data_type	item
P1594	data_type	item
P1595	data_type	item
P1596	data_type	item
P1598	data_type	item
P1599	data_type	external-identifier
P1600	data_type	external-identifier
P1601	data_type	external-identifier
P1602	data_type	external-identifier
P1603	data_type	quantity
P1604	data_type	item
P1605	data_type	item
P1606	data_type	item
P1607	data_type	external-identifier
P1608	data_type	external-identifier
P1609	data_type	external-identifier
P1610	data_type	external-identifier
P1611	data_type	item
P1612	data_type	string
P1613	data_type	url
P1614	data_type	external-identifier
P1615	data_type	external-identifier
P1616	data_type	external-identifier
P1617	data_type	external-identifier
P1618	data_type	string
P1619	data_type	time
P1620	data_type	item
P1621	data_type	string
P1622	data_type	item
P1624	data_type	external-identifier
P1625	data_type	item
P1626	data_type	external-identifier
P1627	data_type	external-identifier
P1628	data_type	url
P1629	data_type	item
P1630	data_type	string
P1631	data_type	external-identifier
P1632	data_type	external-identifier
P1635	data_type	monolingualtext
P1636	data_type	time
P1637	data_type	item
P1638	data_type	monolingualtext
P1639	data_type	item
P1640	data_type	item
P1641	data_type	quantity
P1642	data_type	item
P1643	data_type	item
P1644	data_type	external-identifier
P1645	data_type	external-identifier
P1647	data_type	property
P1648	data_type	external-identifier
P1649	data_type	external-identifier
P1650	data_type	external-identifier
P1651	data_type	external-identifier
P1652	data_type	item
P1653	data_type	external-identifier
P1654	data_type	item
P1656	data_type	item
P1657	data_type	item
P1659	data_type	property
P1660	data_type	item
P1661	data_type	quantity
P1662	data_type	external-identifier
P1663	data_type	external-identifier
P1664	data_type	external-identifier
P1665	data_type	external-identifier
P1666	data_type	external-identifier
P1667	data_type	external-identifier
P1668	data_type	external-identifier
P1669	data_type	external-identifier
P1670	data_type	external-identifier
P1671	data_type	string
P1672	data_type	item
P1673	data_type	string
P1674	data_type	quantity
P1675	data_type	quantity
P1676	data_type	quantity
P1677	data_type	item
P1678	data_type	item
P1679	data_type	external-identifier
P1680	data_type	monolingualtext
P1683	data_type	monolingualtext
P1684	data_type	monolingualtext
P1685	data_type	string
P1686	data_type	item
P1687	data_type	property
P1689	data_type	quantity
P1690	data_type	external-identifier
P1691	data_type	external-identifier
P1692	data_type	string
P1693	data_type	external-identifier
P1694	data_type	external-identifier
P1695	data_type	external-identifier
P1696	data_type	property
P1697	data_type	quantity
P1699	data_type	external-identifier
P1700	data_type	external-identifier
P1702	data_type	external-identifier
P1703	data_type	item
P1704	data_type	item
P1705	data_type	monolingualtext
P1706	data_type	item
P1707	data_type	external-identifier
P1708	data_type	external-identifier
P1709	data_type	url
P1710	data_type	external-identifier
P1711	data_type	external-identifier
P1712	data_type	external-identifier
P1713	data_type	url
P1714	data_type	external-identifier
P1715	data_type	external-identifier
P1716	data_type	item
P1717	data_type	external-identifier
P1721	data_type	string
P1725	data_type	quantity
P1726	data_type	external-identifier
P1727	data_type	external-identifier
P1728	data_type	external-identifier
P1729	data_type	external-identifier
P1730	data_type	external-identifier
P1731	data_type	item
P1732	data_type	external-identifier
P1733	data_type	external-identifier
P1734	data_type	time
P1735	data_type	external-identifier
P1736	data_type	external-identifier
P1738	data_type	external-identifier
P1739	data_type	external-identifier
P1740	data_type	item
P1741	data_type	external-identifier
P1743	data_type	external-identifier
P1744	data_type	external-identifier
P1745	data_type	external-identifier
P1746	data_type	external-identifier
P1747	data_type	external-identifier
P1748	data_type	string
P1749	data_type	external-identifier
P1750	data_type	item
P1751	data_type	external-identifier
P1752	data_type	quantity
P1753	data_type	item
P1754	data_type	item
P1755	data_type	external-identifier
P1760	data_type	external-identifier
P1761	data_type	external-identifier
P1762	data_type	string
P1763	data_type	external-identifier
P1764	data_type	external-identifier
P1766	data_type	string
P1769	data_type	external-identifier
P1770	data_type	external-identifier
P1771	data_type	external-identifier
P1772	data_type	external-identifier
P1774	data_type	item
P1775	data_type	item
P1776	data_type	item
P1777	data_type	item
P1778	data_type	item
P1779	data_type	item
P1780	data_type	item
P1782	data_type	string
P1785	data_type	string
P1786	data_type	string
P1787	data_type	string
P1788	data_type	external-identifier
P1789	data_type	item
P1791	data_type	item
P1792	data_type	item
P1793	data_type	string
P1794	data_type	external-identifier
P1795	data_type	external-identifier
P1796	data_type	string
P1798	data_type	external-identifier
P1799	data_type	external-identifier
P1800	data_type	external-identifier
P1801	data_type	string
P1802	data_type	external-identifier
P1803	data_type	external-identifier
P1804	data_type	external-identifier
P1806	data_type	external-identifier
P1807	data_type	external-identifier
P1808	data_type	external-identifier
P1809	data_type	item
P1810	data_type	string
P1811	data_type	item
P1813	data_type	monolingualtext
P1814	data_type	string
P1815	data_type	string
P1816	data_type	external-identifier
P1817	data_type	item
P1818	data_type	external-identifier
P1819	data_type	external-identifier
P1820	data_type	string
P1821	data_type	external-identifier
P1822	data_type	external-identifier
P1823	data_type	external-identifier
P1824	data_type	string
P1825	data_type	external-identifier
P1826	data_type	external-identifier
P1827	data_type	external-identifier
P1828	data_type	external-identifier
P1829	data_type	external-identifier
P1830	data_type	item
P1831	data_type	quantity
P1832	data_type	external-identifier
P1833	data_type	quantity
P1836	data_type	string
P1837	data_type	external-identifier
P1838	data_type	external-identifier
P1839	data_type	external-identifier
P1840	data_type	item
P1841	data_type	external-identifier
P1842	data_type	external-identifier
P1843	data_type	monolingualtext
P1844	data_type	external-identifier
P1845	data_type	string
P1846	data_type	string
P1847	data_type	external-identifier
P1848	data_type	external-identifier
P1849	data_type	external-identifier
P1850	data_type	external-identifier
P1851	data_type	item
P1852	data_type	external-identifier
P1853	data_type	item
P1854	data_type	external-identifier
P1855	data_type	item
P1866	data_type	external-identifier
P1867	data_type	quantity
P1868	data_type	quantity
P1869	data_type	external-identifier
P1870	data_type	external-identifier
P1871	data_type	external-identifier
P1872	data_type	quantity
P1873	data_type	quantity
P1874	data_type	external-identifier
P1875	data_type	item
P1876	data_type	item
P1877	data_type	item
P1878	data_type	item
P1879	data_type	item
P1880	data_type	item
P1881	data_type	item
P1882	data_type	external-identifier
P1883	data_type	external-identifier
P1884	data_type	item
P1885	data_type	item
P1886	data_type	external-identifier
P1887	data_type	item
P1888	data_type	external-identifier
P1889	data_type	item
P1890	data_type	external-identifier
P1891	data_type	item
P1893	data_type	external-identifier
P1894	data_type	external-identifier
P1895	data_type	external-identifier
P1896	data_type	url
P1897	data_type	item
P1898	data_type	item
P1899	data_type	external-identifier
P1900	data_type	external-identifier
P1901	data_type	external-identifier
P1902	data_type	external-identifier
P1903	data_type	item
P1906	data_type	item
P1907	data_type	external-identifier
P1908	data_type	external-identifier
P1909	data_type	item
P1910	data_type	item
P1911	data_type	item
P1912	data_type	item
P1913	data_type	item
P1914	data_type	item
P1915	data_type	item
P1916	data_type	item
P1917	data_type	item
P1918	data_type	item
P1919	data_type	external-identifier
P1920	data_type	external-identifier
P1921	data_type	string
P1922	data_type	monolingualtext
P1923	data_type	item
P1924	data_type	item
P1925	data_type	external-identifier
P1928	data_type	external-identifier
P1929	data_type	external-identifier
P1930	data_type	external-identifier
P1931	data_type	string
P1932	data_type	string
P1933	data_type	external-identifier
P1934	data_type	external-identifier
P1935	data_type	external-identifier
P1936	data_type	external-identifier
P1937	data_type	external-identifier
P1938	data_type	external-identifier
P1939	data_type	external-identifier
P1940	data_type	external-identifier
P1942	data_type	string
P1943	data_type	string
P1944	data_type	string
P1945	data_type	string
P1947	data_type	external-identifier
P1948	data_type	external-identifier
P1949	data_type	external-identifier
P1950	data_type	item
P1951	data_type	item
P1952	data_type	external-identifier
P1953	data_type	external-identifier
P1954	data_type	external-identifier
P1955	data_type	external-identifier
P1956	data_type	item
P1957	data_type	url
P1958	data_type	external-identifier
P1959	data_type	external-identifier
P1960	data_type	external-identifier
P1961	data_type	external-identifier
P1963	data_type	property
P1966	data_type	external-identifier
P1967	data_type	external-identifier
P1968	data_type	external-identifier
P1969	data_type	external-identifier
P1970	data_type	external-identifier
P1971	data_type	quantity
P1972	data_type	external-identifier
P1973	data_type	external-identifier
P1976	data_type	external-identifier
P1977	data_type	external-identifier
P1978	data_type	external-identifier
P1979	data_type	external-identifier
P1980	data_type	external-identifier
P1981	data_type	item
P1982	data_type	external-identifier
P1983	data_type	external-identifier
P1984	data_type	external-identifier
P1985	data_type	external-identifier
P1986	data_type	external-identifier
P1987	data_type	string
P1988	data_type	external-identifier
P1989	data_type	external-identifier
P1990	data_type	item
P1991	data_type	url
P1992	data_type	external-identifier
P1993	data_type	string
P1994	data_type	external-identifier
P1995	data_type	item
P1996	data_type	external-identifier
P1997	data_type	external-identifier
P1998	data_type	string
P1999	data_type	item
P2000	data_type	external-identifier
P2001	data_type	string
P2002	data_type	external-identifier
P2003	data_type	external-identifier
P2004	data_type	external-identifier
P2005	data_type	external-identifier
P2006	data_type	external-identifier
P2007	data_type	external-identifier
P2008	data_type	external-identifier
P2009	data_type	string
P2010	data_type	string
P2011	data_type	external-identifier
P2012	data_type	item
P2013	data_type	external-identifier
P2014	data_type	external-identifier
P2015	data_type	external-identifier
P2016	data_type	external-identifier
P2017	data_type	string
P2018	data_type	external-identifier
P2019	data_type	external-identifier
